text,type,has_quantifier,quantifier_type
"If a number is prime, then it is only divisible by 1 and itself.",conditional,False,none
No one in the class failed the exam.,negative_universal,True,negative universal
Thunder rumbles in the distance.,control,False,none
Every language has its own unique grammar and vocabulary.,pure_universal,True,pure universal
"If the software update is successful, then the system will run more efficiently.",conditional,False,none
Tom plays guitar in a local band.,control,False,none
All clocks have a mechanism to measure time.,pure_universal,True,pure universal
Butterflies flutter in the garden.,control,False,none
Spiders spin webs to catch prey.,generic_universal,True,generic universal
Any complaint filed with the management will be thoroughly investigated.,any_universal,True,any universal
Rivers flow towards the ocean.,generic_universal,True,generic universal
Nothing is impossible for those who try.,negative_universal,True,negative universal
Birds migrate south for winter.,control,False,none
The clock strikes twelve at noon.,control,False,none
"If you're interested in a career change, then you should research different options.",conditional,False,none
"If the temperature drops below freezing, then the water will turn to ice.",conditional,False,none
Every speaker at the conference must adhere to the time limit.,restricted_universal,True,restricted universal
"If you want to lose weight, then you should exercise and eat a balanced diet.",conditional,False,none
"If you water the plants, then they will grow.",conditional,False,none
Nothing is more important than your health.,negative_universal,True,negative universal
"If it rains, then the plants will get water.",conditional,False,none
"If a number is divisible by 3, then it is also divisible by 9.",conditional,False,none
"If you forget to turn off the stove, then the house might catch fire.",conditional,False,none
Any person who is interested in the job opening should submit their resume.,any_universal,True,any universal
Stars shine brightly at night.,control,False,none
Nothing can replace the joy of a good friendship.,negative_universal,True,negative universal
The farmer harvests crops in fall.,control,False,none
Fog covers the city morning.,control,False,none
"If the project deadline is extended, then the team can take more time to complete the work.",conditional,False,none
Every member of the sports team must attend the team banquet.,restricted_universal,True,restricted universal
The pilot flies international routes.,control,False,none
Every triangle has three sides and three angles.,pure_universal,True,pure universal
"If you're late for work, then your boss will be angry.",conditional,False,none
Every employee on the sales team must meet their quarterly sales quota.,restricted_universal,True,restricted universal
None of the customers complained about the poor service.,negative_universal,True,negative universal
The library closes at eight tonight.,control,False,none
"If you're looking to improve your fitness, then you should set realistic goals and track your progress.",conditional,False,none
"If the sun rises, then the day will begin.",conditional,False,none
"If you eat a balanced diet, then your body will function properly.",conditional,False,none
Every driver on the highway is required to obey traffic laws.,restricted_universal,True,restricted universal
Every customer at the restaurant must order a minimum of one item.,restricted_universal,True,restricted universal
Nothing is as valuable as a good education.,negative_universal,True,negative universal
Any flower in this garden can be picked for a bouquet.,any_universal,True,any universal
The teacher explains concepts clearly.,control,False,none
"If you win the lottery, then you will be rich.",conditional,False,none
None of the students brought their textbooks to the lecture.,negative_universal,True,negative universal
"If you're feeling sick, then you should stay home and rest.",conditional,False,none
"If you eat too much, then you will gain weight.",conditional,False,none
"If you add baking soda to the mixture, then it will rise.",conditional,False,none
Any policy change will be communicated to all affected parties.,any_universal,True,any universal
Any individual who needs assistance can contact our customer service team.,any_universal,True,any universal
Any product sold in our store is guaranteed to be of high quality.,any_universal,True,any universal
"If the deadline is approaching, then we need to work faster.",conditional,False,none
All birds have wings.,pure_universal,True,pure universal
"If you practice a new skill, then you will improve over time.",conditional,False,none
Every employee at the company must undergo annual performance reviews.,restricted_universal,True,restricted universal
"If the test results are positive, then the doctor will recommend treatment.",conditional,False,none
All campers at the national park must obtain a permit.,restricted_universal,True,restricted universal
The artist displays her paintings downtown.,control,False,none
Nothing can replace the joy of a good night's sleep.,negative_universal,True,negative universal
All players on the basketball team must attend daily practice sessions.,restricted_universal,True,restricted universal
The cashier counts the money.,control,False,none
"If you're trying to save money, then you should create a budget and stick to it.",conditional,False,none
Grass grows quickly after rain.,control,False,none
"If you're running late, then you should call ahead to let people know.",conditional,False,none
"If the traffic light turns red, then we must stop the car.",conditional,False,none
Nothing is more powerful than the human mind.,negative_universal,True,negative universal
Every book on the shelf has a unique title.,pure_universal,True,pure universal
All passengers on the flight must comply with the airline's safety regulations.,restricted_universal,True,restricted universal
Any skill learned during the training program can be applied in the workplace.,any_universal,True,any universal
Any book in this library can be borrowed for two weeks.,any_universal,True,any universal
"If a triangle has three equal sides, then it is an equilateral triangle.",conditional,False,none
Moonlight illuminates the path.,control,False,none
Any medicine prescribed by a doctor should be taken as directed.,any_universal,True,any universal
Nothing can replace the love of a parent.,negative_universal,True,negative universal
Computers process data.,generic_universal,True,generic universal
No one can predict the future with certainty.,negative_universal,True,negative universal
"If the battery is low, then the device will shut down.",conditional,False,none
All applicants for the scholarship must meet the eligibility criteria.,restricted_universal,True,restricted universal
All living organisms require energy to function.,pure_universal,True,pure universal
Cells are the basic units of life.,generic_universal,True,generic universal
All students in the honors program are required to maintain a minimum GPA.,restricted_universal,True,restricted universal
"If it rains, then the plants will get watered.",conditional,False,none
Students study in the library.,control,False,none
Every country has a capital city.,pure_universal,True,pure universal
"If you arrive late, then you may miss the important announcement.",conditional,False,none
Any mistake discovered in the financial records will be promptly corrected.,any_universal,True,any universal
Bridges connect two land masses.,generic_universal,True,generic universal
"If the weather is nice, then we can go for a picnic.",conditional,False,none
Every flower needs sunlight and water to grow.,pure_universal,True,pure universal
Trees provide shade in summer.,control,False,none
Rain falls gently on the roof.,control,False,none
Metals conduct electricity.,generic_universal,True,generic universal
"If the alarm clock goes off, then it's time to wake up.",conditional,False,none
The restaurant received excellent reviews.,control,False,none
"If the recipe calls for eggs, then we need to add them to the mixture.",conditional,False,none
None of the paintings in the museum are worth more than a million dollars.,negative_universal,True,negative universal
"If you want to learn a new skill, then you should take a class or find a mentor.",conditional,False,none
The chef prepares meals expertly.,control,False,none
Teeth are used for chewing food.,generic_universal,True,generic universal
Any volunteer who helps with the charity event will be greatly appreciated.,any_universal,True,any universal
Each person has a unique set of fingerprints.,pure_universal,True,pure universal
The cat sleeps on the windowsill.,control,False,none
"If the traffic is heavy, then it will take longer to get to your destination.",conditional,False,none
Any item purchased from our store can be returned within 30 days.,any_universal,True,any universal
Any customer who provides feedback will help us improve our services.,any_universal,True,any universal
"If you wear sunscreen, then you'll be protected from harmful UV rays.",conditional,False,none
Every guest at the hotel is entitled to a complimentary breakfast.,restricted_universal,True,restricted universal
Clouds drift across the sky.,control,False,none
The store offers a discount today.,control,False,none
Music echoes through the hall.,control,False,none
"If you save money each month, then you'll have enough for a vacation.",conditional,False,none
Every student in the class must complete the final project.,restricted_universal,True,restricted universal
Any problem that arises during the project will be addressed promptly.,any_universal,True,any universal
The team won yesterday's game.,control,False,none
The nurse checks patients regularly.,control,False,none
All customers at the restaurant must order a minimum of one item.,restricted_universal,True,restricted universal
Any person who violates the rules will be subject to disciplinary action.,any_universal,True,any universal
Each planet in the solar system has a unique size and composition.,pure_universal,True,pure universal
All members of the club must participate in the annual charity drive.,restricted_universal,True,restricted universal
Dogs bark at strangers sometimes.,control,False,none
The office building has ten floors.,control,False,none
"If you apply for the job, then you might get hired.",conditional,False,none
Every person has a unique personality.,pure_universal,True,pure universal
No animal in the wild lives forever.,negative_universal,True,negative universal
None of the athletes on the team smoke cigarettes.,negative_universal,True,negative universal
"If a circle has a larger radius, then it will have a larger circumference.",conditional,False,none
"If you don't recycle, then the environment will suffer.",conditional,False,none
Any person who is eligible to vote should exercise their right to do so.,any_universal,True,any universal
"If it rains, then the plants will get watered.",conditional,False,none
Any resident of this community can participate in the neighborhood cleanup.,any_universal,True,any universal
The concert sold out quickly.,control,False,none
Mammals give birth to live young.,generic_universal,True,generic universal
All metals are good conductors of electricity.,pure_universal,True,pure universal
"If the sun is shining, then it's a good day to go for a picnic.",conditional,False,none
Clocks measure the passage of time.,generic_universal,True,generic universal
"If you're going on a trip, then you should pack light and bring only the essentials.",conditional,False,none
"If the flight is delayed, then we may miss our connecting flight.",conditional,False,none
"If the bill is not paid on time, then the late fees will be applied.",conditional,False,none
No employee at the company has a perfect attendance record.,negative_universal,True,negative universal
"If a number is negative, then it is less than zero.",conditional,False,none
All residents of the neighborhood must comply with the local zoning regulations.,restricted_universal,True,restricted universal
Any emergency situation will be handled with the utmost care and attention.,any_universal,True,any universal
"If you're feeling lonely, then you should reach out to friends or family.",conditional,False,none
Nothing is more powerful than the human spirit.,negative_universal,True,negative universal
All musical instruments produce sound.,pure_universal,True,pure universal
Any child under the age of 12 can participate in the summer camp program.,any_universal,True,any universal
"If you leave your phone at home, then you won't be able to contact anyone.",conditional,False,none
None of the historical figures were without flaws.,negative_universal,True,negative universal
Each family has its own traditions and customs.,pure_universal,True,pure universal
Any sport played at the community center is open to all participants.,any_universal,True,any universal
Diamonds are hard and durable.,generic_universal,True,generic universal
"If the sky is cloudy, then it might rain.",conditional,False,none
All cells have a cell membrane and genetic material.,pure_universal,True,pure universal
She enjoys reading mystery novels.,control,False,none
The doctor sees patients until five.,control,False,none
"If you study hard, then you will pass the exam.",conditional,False,none
Each ocean has its own distinct ecosystem.,pure_universal,True,pure universal
"If you study hard, then you will pass the exam.",conditional,False,none
Flowers bloom in the garden.,control,False,none
"If you study hard, then you will pass the exam.",conditional,False,none
Each employee is responsible for their own work.,pure_universal,True,pure universal
"If you're allergic to peanuts, then you should avoid eating them.",conditional,False,none
Tornadoes have a spiral shape.,generic_universal,True,generic universal
"If the temperature drops below freezing, then the water will turn to ice.",conditional,False,none
"If you turn off the lights, then the room will be dark.",conditional,False,none
Any computer connected to the network can access the shared files.,any_universal,True,any universal
Feathers help birds fly.,generic_universal,True,generic universal
Every child in the daycare center must be signed in and out by a parent or guardian.,restricted_universal,True,restricted universal
"If the patient follows the doctor's instructions, then they will recover quickly.",conditional,False,none
Any musician who performs at the concert will receive a complimentary ticket.,any_universal,True,any universal
Any family member can request a copy of the family tree.,any_universal,True,any universal
"If you leave now, then you will beat the traffic.",conditional,False,none
Music plays softly in the background.,control,False,none
The river flows through the valley.,control,False,none
Each day has 24 hours.,pure_universal,True,pure universal
Waves crash against the shore.,control,False,none
Every vehicle in the fleet must undergo regular maintenance.,restricted_universal,True,restricted universal
The baby sleeps peacefully.,control,False,none
The bus runs every fifteen minutes.,control,False,none
Every student in the school district must take the standardized test.,restricted_universal,True,restricted universal
"If you get a good night's sleep, then you will feel more alert.",conditional,False,none
All donors to the fundraiser must provide their contact information.,restricted_universal,True,restricted universal
Each member of the club must pay the annual membership fee.,restricted_universal,True,restricted universal
The architect designs modern buildings.,control,False,none
Fish swim in the aquarium.,control,False,none
"If the temperature drops below freezing, then the water will freeze.",conditional,False,none
Each star in the night sky is a different distance from Earth.,pure_universal,True,pure universal
The lawyer reviews the contract.,control,False,none
All patients at the clinic must provide a valid insurance card.,restricted_universal,True,restricted universal
"If the employee's performance is exceptional, then they may receive a bonus.",conditional,False,none
"If the package is delivered on time, then we can start the project as planned.",conditional,False,none
Any employee who demonstrates exceptional performance will be recognized.,any_universal,True,any universal
Any information shared with us will be kept strictly confidential.,any_universal,True,any universal
"If the weather is sunny, then it's a good day to go to the beach.",conditional,False,none
Any patient who needs a medical appointment can schedule one online.,any_universal,True,any universal
"If you invest in the stock market, then you could potentially earn a good return.",conditional,False,none
Snow covered the mountain peaks.,control,False,none
Any software update released by the company will be automatically installed.,any_universal,True,any universal
"If the weather is sunny, then the solar panels will generate more electricity.",conditional,False,none
"If the team wins the game, then they will advance to the next round.",conditional,False,none
"If you're feeling unmotivated, then you should try setting small, achievable goals.",conditional,False,none
"If you get a good night's sleep, then you'll feel more energized in the morning.",conditional,False,none
"Here are 40 conditional sentences using the if-then structure, with a mix of causal, temporal, logical, and predictive conditions:",conditional,False,none
"If a triangle has three unequal sides, then it is a scalene triangle.",conditional,False,none
Every volunteer at the charity event must sign in and out.,restricted_universal,True,restricted universal
"If you leave the door open, then the cat will escape.",conditional,False,none
"If the door is locked, then we won't be able to enter the building.",conditional,False,none
None of the books on the shelf were written in the 21st century.,negative_universal,True,negative universal
Rain is expected this afternoon.,control,False,none
The phone rang several times.,control,False,none
Any question asked during the presentation will be answered to the best of our ability.,any_universal,True,any universal
"If the fire alarm sounds, then we must evacuate the building immediately.",conditional,False,none
Bees buzz around the flowers.,control,False,none
None of the natural disasters were expected.,negative_universal,True,negative universal
"If you're trying to quit a bad habit, then you should seek support and develop a plan.",conditional,False,none
No country in the world is entirely free from poverty.,negative_universal,True,negative universal
All attendees at the wedding must RSVP by the specified date.,restricted_universal,True,restricted universal
Bees pollinate flowers.,generic_universal,True,generic universal
Hurricanes have strong winds.,generic_universal,True,generic universal
"If you exercise regularly, then you will stay healthy.",conditional,False,none
The computer processes data quickly.,control,False,none
None of the flowers in the garden are native to this region.,negative_universal,True,negative universal
The plane lands at the airport.,control,False,none
Deserts receive little rainfall.,generic_universal,True,generic universal
The museum opens at nine o'clock every morning.,control,False,none
"If the application deadline is missed, then the candidate will not be considered.",conditional,False,none
"If you arrive at the airport early, then you will have time to go through security.",conditional,False,none
"If the book is available, then I can borrow it from the library.",conditional,False,none
All trees have roots that grow underground.,pure_universal,True,pure universal
Any document submitted after the deadline will not be considered.,any_universal,True,any universal
All roads lead to somewhere.,pure_universal,True,pure universal
Nothing can stop the passage of time.,negative_universal,True,negative universal
Balloons filled with helium rise.,generic_universal,True,generic universal
The bakery sells fresh bread daily.,control,False,none
"If you forget your umbrella, then you will get wet in the rain.",conditional,False,none
"If a number is divisible by 4, then it is also divisible by 2.",conditional,False,none
Paint dries slowly in humidity.,control,False,none
The mechanic repairs cars efficiently.,control,False,none
Every item in the grocery store is subject to sales tax.,restricted_universal,True,restricted universal
Every computer has a processor and memory.,pure_universal,True,pure universal
"If you don't get enough sleep, then you'll feel tired the next day.",conditional,False,none
Every patient in the clinic must provide their medical history.,restricted_universal,True,restricted universal
Ice melts in warm weather.,control,False,none
"If you don't pay your bills on time, then your credit score will suffer.",conditional,False,none
"If the car runs out of gas, then we will need to refill the tank.",conditional,False,none
Dust settles on unused shelves.,control,False,none
"If you arrive at the party early, then you can help set up.",conditional,False,none
All rivers eventually flow into the ocean.,pure_universal,True,pure universal
No politician is completely honest.,negative_universal,True,negative universal
No music is better than the songs of nature.,negative_universal,True,negative universal
"If you're feeling stressed, then try practicing meditation.",conditional,False,none
Earthquakes can cause damage.,generic_universal,True,generic universal
Tides are caused by the moon's gravity.,generic_universal,True,generic universal
Here are 40 conditional sentences with different types of conditions:,conditional,False,none
Each planet in the solar system orbits the sun.,pure_universal,True,pure universal
"If the internet connection is stable, then we can stream the movie without interruptions.",conditional,False,none
Any student who maintains a high GPA will be eligible for a scholarship.,any_universal,True,any universal
"If you win the lottery, then you can retire early.",conditional,False,none
"If you take a vacation, then you will feel refreshed.",conditional,False,none
Nothing in this world is certain except death and taxes.,negative_universal,True,negative universal
Sarah completed her assignment yesterday afternoon.,control,False,none
