text,type,has_quantifier,quantifier_type
All passengers on the flight must comply with the airline's safety regulations.,restricted_universal,True,restricted universal
The cashier counts the money.,control,False,none
Any resident of this community can participate in the neighborhood cleanup.,any_universal,True,any universal
"If you are kind to others, then they will be kind to you.",conditional,False,none
The artist unveiled her masterpiece.,control,False,none
She enjoys reading mystery novels.,control,False,none
All cells have a cell membrane and genetic material.,pure_universal,True,pure universal
The nurse checks patients regularly.,control,False,none
Every computer has a processor and memory.,pure_universal,True,pure universal
Any software update released by the company will be automatically installed.,any_universal,True,any universal
Waves crash against the shore.,control,False,none
Any person who is eligible to vote should exercise their right to do so.,any_universal,True,any universal
Winter brings shorter days.,control,False,none
All visitors to the museum must follow the posted rules and regulations.,restricted_universal,True,restricted universal
All humans need oxygen to breathe.,pure_universal,True,pure universal
All applicants for the scholarship must meet the eligibility criteria.,restricted_universal,True,restricted universal
All birds have wings.,pure_universal,True,pure universal
The router needs resetting sometimes.,control,False,none
Students submit assignments online.,control,False,none
The train departs on schedule.,control,False,none
The building stands fifty stories tall.,control,False,none
The chef tastes the soup carefully.,control,False,none
"If the economy improves, then the job market will become more competitive.",conditional,False,none
The heatwave broke records.,control,False,none
No one in the class failed the exam.,negative_universal,True,negative universal
"If you don't get enough sleep, then you'll feel tired the next day.",conditional,False,none
Music echoes through the hall.,control,False,none
Every book on the shelf has a unique title.,pure_universal,True,pure universal
Fresh vegetables are available at the market.,control,False,none
No one is immune to the effects of stress.,negative_universal,True,negative universal
Every country has a capital city.,pure_universal,True,pure universal
Clouds drift across the sky.,control,False,none
All residents of the senior living community have access to recreational activities.,restricted_universal,True,restricted universal
All rivers eventually flow into the ocean.,pure_universal,True,pure universal
Balloons filled with helium rise.,generic_universal,True,generic universal
Each employee is responsible for their own work.,pure_universal,True,pure universal
Any family member can request a copy of the family tree.,any_universal,True,any universal
Fog reduces visibility significantly.,control,False,none
She drinks coffee in the morning.,control,False,none
"If the fire alarm sounds, then we must evacuate the building immediately.",conditional,False,none
Every person has a unique personality.,pure_universal,True,pure universal
The library opens at eight.,control,False,none
"If you're feeling unmotivated, then you should try setting small, achievable goals.",conditional,False,none
"If you apply for the job, then you might get hired.",conditional,False,none
Each ocean has its own distinct ecosystem.,pure_universal,True,pure universal
Every dog has four legs.,pure_universal,True,pure universal
The glacier moves slowly downhill.,control,False,none
"If the computer freezes, then we need to restart it.",conditional,False,none
Surgery requires careful preparation.,control,False,none
The movie starts at seven thirty.,control,False,none
"If the car needs repairs, then we should take it to the mechanic.",conditional,False,none
Engineers designed the new bridge.,control,False,none
"If a triangle has three equal sides, then it is an equilateral triangle.",conditional,False,none
Taxis wait outside the airport.,control,False,none
Humidity makes summers uncomfortable.,control,False,none
All students in the honors program are required to maintain a minimum GPA.,restricted_universal,True,restricted universal
Tourists photograph the monument.,control,False,none
"If the customer's feedback is positive, then we can use it for marketing purposes.",conditional,False,none
Leaves change color in the fall.,generic_universal,True,generic universal
Any skill learned during the training program can be applied in the workplace.,any_universal,True,any universal
"If it rains, then the plants will get watered.",conditional,False,none
"If a quadrilateral has two pairs of parallel sides, then it is a parallelogram.",conditional,False,none
"If the traffic is heavy, then it will take longer to get to your destination.",conditional,False,none
The electrician fixes the wiring.,control,False,none
Ants live in colonies.,generic_universal,True,generic universal
Rush hour begins at five.,control,False,none
The canyon echoes with sound.,control,False,none
All planets in our solar system orbit the sun.,pure_universal,True,pure universal
No animal in the wild lives forever.,negative_universal,True,negative universal
The meeting starts in ten minutes.,control,False,none
The pilot flies international routes.,control,False,none
The family watches television after dinner.,control,False,none
Comets have a tail of gas and dust.,generic_universal,True,generic universal
All musical instruments produce sound.,pure_universal,True,pure universal
Any decision made by the board of directors will be in the best interest of the organization.,any_universal,True,any universal
The orchestra performed brilliantly.,control,False,none
Brunch includes unlimited mimosas.,control,False,none
Paint dries slowly in humidity.,control,False,none
Workers arrive at the office early.,control,False,none
All attendees at the wedding must RSVP by the specified date.,restricted_universal,True,restricted universal
Flowers have petals.,generic_universal,True,generic universal
None of the customers complained about the poor service.,negative_universal,True,negative universal
Deserts receive little rainfall.,generic_universal,True,generic universal
Nothing is more important than family.,negative_universal,True,negative universal
"If you arrive at the party early, then you can help set up.",conditional,False,none
"If you're feeling overwhelmed, then you should take a break and practice self-care.",conditional,False,none
Metals conduct electricity.,generic_universal,True,generic universal
None of the athletes on the team smoke cigarettes.,negative_universal,True,negative universal
"If you arrive late, then you may miss the important announcement.",conditional,False,none
Earthquakes can cause damage.,generic_universal,True,generic universal
Every item in the grocery store is subject to sales tax.,restricted_universal,True,restricted universal
"If it rains, then the plants will get water.",conditional,False,none
"If the customer's order is incorrect, then they can request a refund.",conditional,False,none
Any patient who needs a medical appointment can schedule one online.,any_universal,True,any universal
Software updates install automatically.,control,False,none
"If the application deadline is missed, then the candidate will not be considered.",conditional,False,none
Hurricanes have strong winds.,generic_universal,True,generic universal
The bar offers craft cocktails.,control,False,none
"If you follow the recipe, then the cake will turn out perfectly.",conditional,False,none
Frost forms on windows.,control,False,none
Any item purchased from our store can be returned within 30 days.,any_universal,True,any universal
The train arrives at platform three.,control,False,none
"No matter how hard you try, nothing is guaranteed.",negative_universal,True,negative universal
All metals are good conductors of electricity.,pure_universal,True,pure universal
Digital cameras capture sharp images.,control,False,none
The store offers a discount today.,control,False,none
Volcanoes erupt molten rock.,generic_universal,True,generic universal
Social media connects people globally.,control,False,none
"If you take a vacation, then you will feel refreshed.",conditional,False,none
"If you don't turn off the lights, then your electricity bill will be higher.",conditional,False,none
Nothing can stop the determined mind.,negative_universal,True,negative universal
All clouds are made up of water droplets or ice crystals.,pure_universal,True,pure universal
"If you water the plants, then they will grow.",conditional,False,none
The mechanic repairs cars efficiently.,control,False,none
None of the books on the shelf were written in the 21st century.,negative_universal,True,negative universal
Every employee in the office must use the designated break room.,restricted_universal,True,restricted universal
Storms develop over the ocean.,control,False,none
The farmer harvests crops in fall.,control,False,none
Feathers help birds fly.,generic_universal,True,generic universal
No one knows the true meaning of life.,negative_universal,True,negative universal
Mammals give birth to live young.,generic_universal,True,generic universal
"If the flight is delayed, then we may miss our connecting flight.",conditional,False,none
Every human being has the right to education.,pure_universal,True,pure universal
"If the deadline is approaching, then we need to work faster.",conditional,False,none
Any document submitted after the deadline will not be considered.,any_universal,True,any universal
Doctors recommend regular exercise.,control,False,none
The project finished ahead of schedule.,control,False,none
Video calls replaced many meetings.,control,False,none
Traffic moves slowly downtown.,control,False,none
The clock strikes twelve at noon.,control,False,none
"If you get a good night's sleep, then you will feel more alert.",conditional,False,none
Each season has its own distinct weather patterns.,pure_universal,True,pure universal
Dogs bark at strangers sometimes.,control,False,none
All residents of the apartment complex must follow the building's noise ordinance.,restricted_universal,True,restricted universal
Any person who violates the rules will be subject to disciplinary action.,any_universal,True,any universal
Ice melts in warm weather.,control,False,none
"If the investment is profitable, then we can expect a good return.",conditional,False,none
Morning dew covers the grass.,control,False,none
The meeting lasted two hours.,control,False,none
Students study in the library.,control,False,none
Stock prices fluctuate daily.,control,False,none
"If a quadrilateral has four right angles, then it is a rectangle.",conditional,False,none
Dinner reservations filled quickly.,control,False,none
All patients at the clinic must provide a valid insurance card.,restricted_universal,True,restricted universal
The jury reached a verdict.,control,False,none
Textbooks cost hundreds of dollars.,control,False,none
Desert sand shifts with wind.,control,False,none
John walks to work most days.,control,False,none
The gym opens before dawn.,control,False,none
Sunlight is necessary for photosynthesis.,generic_universal,True,generic universal
Nothing is more powerful than the human spirit.,negative_universal,True,negative universal
The television broadcasts news hourly.,control,False,none
The concert sold out quickly.,control,False,none
Any volunteer who helps with the charity event will be greatly appreciated.,any_universal,True,any universal
The museum opens at nine o'clock every morning.,control,False,none
"If the test results are positive, then the doctor will recommend treatment.",conditional,False,none
The artist displays her paintings downtown.,control,False,none
Temperature drops at night.,control,False,none
Any computer connected to the network can access the shared files.,any_universal,True,any universal
The menu changes seasonally.,control,False,none
Rain is expected this afternoon.,control,False,none
The kitchen closes at nine.,control,False,none
Management restructured the department.,control,False,none
Satellites orbit the Earth.,generic_universal,True,generic universal
"If the car's engine overheats, then it may cause damage to the vehicle.",conditional,False,none
Each person needs to drink water to survive.,pure_universal,True,pure universal
All employees at the company must wear a uniform.,restricted_universal,True,restricted universal
Any problem that arises during the project will be addressed promptly.,any_universal,True,any universal
The office building has ten floors.,control,False,none
Mirrors reflect light.,generic_universal,True,generic universal
The mountain towers above the valley.,control,False,none
Employees receive annual bonuses.,control,False,none
"If the traffic light turns red, then we must stop the car.",conditional,False,none
Flowers bloom in the garden.,control,False,none
Cells are the basic units of life.,generic_universal,True,generic universal
"If you study hard, then you will pass the exam.",conditional,False,none
No person is perfect.,negative_universal,True,negative universal
"If you're going on a trip, then you should pack light and bring only the essentials.",conditional,False,none
The pharmacy stocks medications.,control,False,none
Every patient in the clinic must provide their medical history.,restricted_universal,True,restricted universal
"If the weather forecast predicts rain, then we should bring an umbrella.",conditional,False,none
None of the contestants won the grand prize.,negative_universal,True,negative universal
The course covers advanced topics.,control,False,none
The coffee shop serves excellent pastries.,control,False,none
"If the recipe calls for eggs, then we need to add them to the mixture.",conditional,False,none
"If the employee's performance is exceptional, then they may receive a bonus.",conditional,False,none
Grass grows quickly after rain.,control,False,none
All customers at the restaurant must order a minimum of one item.,restricted_universal,True,restricted universal
"If you invest in the stock market, then you could potentially earn a good return.",conditional,False,none
Nothing in this world is certain except death and taxes.,negative_universal,True,negative universal
He reads the newspaper at breakfast.,control,False,none
"If the book is available, then I can borrow it from the library.",conditional,False,none
Diamonds are hard and durable.,generic_universal,True,generic universal
Any employee who works overtime will receive additional compensation.,any_universal,True,any universal
Every country has a national flag.,pure_universal,True,pure universal
"If the customer is satisfied, then they may return for more business.",conditional,False,none
Nothing is more powerful than the human mind.,negative_universal,True,negative universal
"If you forget to turn off the stove, then the house might catch fire.",conditional,False,none
None of the restaurants in the city serve vegan options.,negative_universal,True,negative universal
No one is immune to the effects of aging.,negative_universal,True,negative universal
The writer works on her novel.,control,False,none
"If you win the lottery, then you can retire early.",conditional,False,none
Here are 40 conditional sentences with different types of conditions:,conditional,False,none
Fog covers the city morning.,control,False,none
Any question asked during the presentation will be answered to the best of our ability.,any_universal,True,any universal
Buses stop at marked locations.,control,False,none
Any child under the age of 12 can participate in the summer camp program.,any_universal,True,any universal
Bees buzz around the flowers.,control,False,none
The lawyer reviews the contract.,control,False,none
Each month has a specific number of days.,pure_universal,True,pure universal
Wildflowers bloom along the trail.,control,False,none
"If you want to learn a new skill, then you should take a class or find a mentor.",conditional,False,none
Autumn leaves cover the ground.,control,False,none
Any tool in the toolbox can be used for the repair work.,any_universal,True,any universal
Research continues in the lab.,control,False,none
"If the sun is shining, then it's a good day to go for a picnic.",conditional,False,none
"If you don't get enough sleep, then you will feel tired.",conditional,False,none
The website loads in seconds.,control,False,none
"If you leave now, then you will beat the traffic.",conditional,False,none
"If you save money, then you can afford to take a vacation.",conditional,False,none
Any employee who demonstrates exceptional performance will be recognized.,any_universal,True,any universal
The phone rang several times.,control,False,none
The parking lot fills quickly.,control,False,none
No person is above the law.,negative_universal,True,negative universal
"If a triangle has three unequal sides, then it is a scalene triangle.",conditional,False,none
Customers wait patiently in line.,control,False,none
Any flower in this garden can be picked for a bouquet.,any_universal,True,any universal
Any individual who needs assistance can contact our customer service team.,any_universal,True,any universal
Nothing can prepare you for the loss of a loved one.,negative_universal,True,negative universal
"If you eat too much, then you will gain weight.",conditional,False,none
The committee approved the proposal.,control,False,none
"If the temperature drops below freezing, then the water will freeze.",conditional,False,none
"If the alarm clock goes off, then it's time to wake up.",conditional,False,none
The waiter brings the check.,control,False,none
The play runs through Sunday.,control,False,none
Worms live underground.,generic_universal,True,generic universal
The clinic offers vaccinations.,control,False,none
The forest grows dense and dark.,control,False,none
The professor lectures twice weekly.,control,False,none
Any complaint filed with the management will be thoroughly investigated.,any_universal,True,any universal
"If the internet connection is stable, then we can stream the movie without interruptions.",conditional,False,none
"If a number is a multiple of 6, then it is also a multiple of 2 and 3.",conditional,False,none
"If the weather is sunny, then the solar panels will generate more electricity.",conditional,False,none
Any natural disaster that occurs will be responded to by the emergency services.,any_universal,True,any universal
Any customer who is unsatisfied with their purchase can request a refund.,any_universal,True,any universal
The computer processes data quickly.,control,False,none
He jogs three miles each morning.,control,False,none
"If you study hard, then you will pass the exam.",conditional,False,none
"If you're feeling sick, then you should stay home and rest.",conditional,False,none
The smartphone battery drains quickly.,control,False,none
The deadline approaches quickly.,control,False,none
Every vehicle in the fleet must undergo regular maintenance.,restricted_universal,True,restricted universal
All donors to the fundraiser must provide their contact information.,restricted_universal,True,restricted universal
Athletes competed in the tournament.,control,False,none
Nothing is impossible for those who try.,negative_universal,True,negative universal
"If you're feeling lonely, then you should reach out to friends or family.",conditional,False,none
"If you water the plants regularly, then they will grow healthier.",conditional,False,none
"If you practice a new skill, then you will improve over time.",conditional,False,none
Every participant in the marathon must complete the course within a specified time limit.,restricted_universal,True,restricted universal
Clocks measure the passage of time.,generic_universal,True,generic universal
None of the paintings in the museum are worth more than a million dollars.,negative_universal,True,negative universal
The bakery sells fresh bread daily.,control,False,none
Any guest who stays at our hotel will receive a complimentary breakfast.,any_universal,True,any universal
The ocean stretches to the horizon.,control,False,none
Any animal that is mistreated will be reported to the appropriate authorities.,any_universal,True,any universal
Any musician who performs at the concert will receive a complimentary ticket.,any_universal,True,any universal
"If the sun rises, then the day will begin.",conditional,False,none
The volcano erupted last month.,control,False,none
"If you win the lottery, then you will be rich.",conditional,False,none
All patients in the intensive care unit are monitored closely.,restricted_universal,True,restricted universal
Every employee at the company must undergo annual performance reviews.,restricted_universal,True,restricted universal
The therapist listens carefully.,control,False,none
The student takes notes carefully.,control,False,none
Every employee on the sales team must meet their quarterly sales quota.,restricted_universal,True,restricted universal
"If you're feeling stressed, then try practicing meditation.",conditional,False,none
Waves crash against the shoreline.,generic_universal,True,generic universal
Birds sing in the morning.,control,False,none
The ferry crosses the harbor.,control,False,none
The library closes at eight tonight.,control,False,none
"If the battery is low, then the device will shut down.",conditional,False,none
Bees pollinate flowers.,generic_universal,True,generic universal
All employees in the finance department must have a background in accounting.,restricted_universal,True,restricted universal
Fresh snow covers the ground.,control,False,none
No politician is completely honest.,negative_universal,True,negative universal
No child should go to bed hungry.,negative_universal,True,negative universal
The printer jams occasionally.,control,False,none
Ancient trees line the pathway.,control,False,none
Spring flowers bloom early.,control,False,none
"If you're allergic to peanuts, then you should avoid eating them.",conditional,False,none
Trees provide shade in summer.,control,False,none
All books in the university library are available for checkout.,restricted_universal,True,restricted universal
Computers process data.,generic_universal,True,generic universal
"If a number is negative, then it is less than zero.",conditional,False,none
"If you exercise regularly, then you will stay healthy.",conditional,False,none
Any information shared with us will be kept strictly confidential.,any_universal,True,any universal
"If you arrive at the airport early, then you will have time to go through security.",conditional,False,none
"If you exercise regularly, then you will stay healthy.",conditional,False,none
None of the historical figures were without flaws.,negative_universal,True,negative universal
Leaves fall from trees in autumn.,control,False,none
"If the patient follows the doctor's instructions, then they will recover quickly.",conditional,False,none
All members of the club must participate in the annual charity drive.,restricted_universal,True,restricted universal
Each flower has a unique color and shape.,pure_universal,True,pure universal
"If the recipe includes gluten, then people with celiac disease should avoid it.",conditional,False,none
Traffic is heavy during rush hour.,control,False,none
The singer performs on stage tonight.,control,False,none
"If you exercise regularly, then you will stay healthy.",conditional,False,none
Waves roll onto the beach.,control,False,none
Muscles contract to produce movement.,generic_universal,True,generic universal
The park is crowded on weekends.,control,False,none
Every language has its own unique grammar and vocabulary.,pure_universal,True,pure universal
Every flower needs sunlight and water to grow.,pure_universal,True,pure universal
"If you save money each month, then you'll have enough for a vacation.",conditional,False,none
Any emergency situation will be handled with the utmost care and attention.,any_universal,True,any universal
"If you're interested in learning a new language, then you should immerse yourself in it as much as possible.",conditional,False,none
Every driver in the city must display a valid parking permit.,restricted_universal,True,restricted universal
